title;rating;address;metro;avg_check;breakfast;business_lunch;deleviry;parking;catering;banquets;telephone;site;restaurant_type;open_hours;positive_reviews;negative_reviews
Шоколадница;0;Москва, Кронштадтский б-р, 3а, ТАЦ «Гавань»;['Водный стадион'];700–1700 ₽;Есть;Есть;Есть;Есть;Нет;Нет;+7 929 696 06 76;http://www.shoko.ru;['Блины', 'Европейская кухня', 'Паста', 'Сэндвичи', 'Кондитерские', 'Кофейни'];10:00 до 22:00;0;0
Ян Примус;0;Москва, Грузинский Вал, 11, стр. 3;['Белорусская'];1700–3000 ₽;Нет;Есть;Есть;Есть;Нет;Есть;+7 (495) 795 94 22;Сайт;['Бельгийская кухня', 'Бургеры', 'Европейская кухня', 'Паста', 'Пицца', 'Стейки', 'Концерты', 'Пивные рестораны'];12:00 до 05:00;0;0
What's up Dog!;0;Москва, Крымский Вал, 9, в парке Горького, около Театра Стаса Намина;['Парк культуры', 'Октябрьская'];До 700 ₽;Нет;Нет;Нет;Нет;Нет;Нет;Нет;http://www.whatsupdog.ru;['Американская кухня', 'Сэндвичи', 'Стритфуд', 'Фастфуд'];10:00 до 23:00;0;0
Крошка-картошка;0;Москва, Генерала Кузнецова, 22, ТРЦ «Миля»;['Жулебино'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 995 21 34 (единая справочная);http://www.kartoshka.com;['Русская кухня', 'Сэндвичи', 'Кафе', 'Фастфуд'];10:00 до 23:00;0;0
Суши-маркет;0;Москва, Ленинская Слобода, 19, БЦ «Омега-плаза»;['Автозаводская'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 800 700 67 76;http://msk.sushi-market.com;['Суши', 'Японская кухня', 'Фастфуд'];09:00 до 21:00;0;0
Say Yes!;0;Москва, Земляной Вал, 2;['Красные Ворота', 'Курская', 'Чкаловская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 905 505 86 68;Нет;['Итальянская кухня', 'Паста', 'Кафе'];09:00 до 22:00;0;0
Суши-сет;0;Москва, Городецкая, 5, ТЦ «Колорит»;['Новокосино'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 (495) 150 55 22;Сайт;['Суши', 'Японская кухня', 'Фастфуд'];11:00 до 23:00;0;0
Кафе-паб;0;Москва, Академика Янгеля, 1;['Улица Академика Янгеля'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 915 280 59 26;Нет;['Европейская кухня', 'Кафе', 'Пабы'];15:00 до 02:00;0;0
Жеральдин;7.2;Москва, Остоженка, 27, корп. 2, вход из Коробейникова пер.;['Парк культуры'];1700–3000 ₽;Есть;Нет;Есть;Есть;Нет;Есть;+7 (495) 695 12 02;Сайт;['Европейская кухня', 'Французская кухня', 'Винотеки', 'Веранды'];09:00 до 23:00;0;0
Stereopeople;0;Москва, Новослободская, 16а;['Новослободская', 'Менделеевская'];1700–3000 ₽;Нет;Нет;Нет;Нет;Нет;Есть;+7 901 761 41 21;http://stereopeoplegroup.ru/teststereobar;['Бургеры', 'Европейская кухня', 'Паста', 'Бары', 'Живая музыка', 'Коктейльная карта', 'Концерты'];19:00 до 06:00;0;0
Дедовский пекарь;0;Москва, Истринский р-н, пос. Рождествено, Сиреневый б-р, 8;[];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 925 583 49 86;Нет;['Торты на заказ', 'Кондитерские', 'Пекарни'];09:00 до 21:00;0;0
Pestovo Golf;0;Москва, Мытищинский р-н, дер. Румянцево, Никольская, 1, стр. 1, на территории яхт-клуба Pestovo Golf;[];1700–3000 ₽;Нет;Нет;Есть;Есть;Есть;Есть;+7 926 353 88 88;http://pestovo24.ru;['Европейская кухня', 'Рестораны у воды'];12:00 до 22:00;0;0
Sparkle;2 отзыва;Москва, Ленинградский просп., 35, стр. 1, БЦ «Искра-парк»;['Динамо', 'Петровский парк'];1700–3000 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 (499) 390 34 04;http://sparklerest.ru;['Европейская кухня', 'Устрицы', 'Винотеки'];12:00 до 23:00;2;0
Tacodor;0;Москва, Симферопольский б-р, 11/12, Москворецкий рынок;['Севастопольская', 'Каховская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 906 037 53 59;http://www.tacodor.ru;['Мексиканская кухня', 'Кафе'];10:00 до 21:00;0;0
Cinnabon;0;Москва, Вавилова, 3, ТРЦ «Гагаринский»;['Ленинский проспект', 'Площадь Гагарина'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 580 63 23 (единая справочная);http://cinnabonrussia.com;['Кондитерские', 'Кофейни'];09:00 до 22:00;0;0
Ля фантази;0;Москва, Дмитровское ш., 157, стр. 12, БЦ «Гефест»;['Алтуфьево', 'Селигерская'];До 700 ₽;Нет;Нет;Есть;Нет;Есть;Нет;+7 (495) 374 75 10 (единая справочная);http://www.lafantasi.ru;['Блины', 'Европейская кухня', 'Пироги', 'Русская кухня', 'Кулинарии'];09:00 до 19:00;0;0
Coffee Like;0;Москва, просп. Мира, 211, ТРК Europolis;['Ботанический сад', 'Ростокино'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 800 333 41 30;http://coffee-like.com;['Кофейни'];10:00 до 22:00;0;0
Cofix;0;Москва, Барклая, 10, ТЦ «Багратионовский»;['Багратионовская'];До 700 ₽;Есть;Нет;Нет;Нет;Нет;Нет;+7 985 110 46 79;http://www.cofix.ru;['Европейская кухня', 'Сэндвичи', 'Кофейни'];08:00 до 22:00;0;0
Leinster Pub;0;Москва, Семеновская пл., 7, корп. 17;['Семеновская'];700–1700 ₽;Нет;Есть;Нет;Есть;Нет;Нет;+7 906 012 56 14;http://vk.com/leinsterpub;['Английская кухня', 'Европейская кухня', 'Бары', 'Пабы', 'Спортбары'];12:00 до 05:00;0;0
Тануки;0;Москва, Ярославское ш., 10;['ВДНХ', 'Ростокино'];700–1700 ₽;Нет;Нет;Есть;Есть;Нет;Есть;+7 (495) 223 22 23 (доставка);http://tanuki.ru;['Вегетарианское меню', 'Паровые коктейли', 'Суши', 'Японская кухня'];11:30 до 02:00;0;0
Даблби;0;Москва, 22-й км Киевского ш., 6, стр. 1, ОП Comcity;['Румянцево'];Нет;Нет;Нет;Есть;Есть;Есть;Нет;Нет;http://double-b.ru;['Кофейни'];08:00 до 19:00;0;0
Coffee Head;0;Москва, Волгоградский просп., 119/22;['Кузьминки'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 926 104 64 09;Нет;['Кофейни'];07:00 до 23:00;0;0
Valiko;0;Москва, Вавилова, 64/1, стр. 1, Черемушкинский рынок;['Университет', 'Профсоюзная'];Нет;Нет;Нет;Есть;Есть;Нет;Нет;+7 996 965 41 12;http://www.valiko.life;['Торты на заказ', 'Кондитерские', 'Пекарни'];08:00 до 20:00;0;0
Виктория;0;Москва, Рязанский просп., 22;['Рязанский проспект'];700–1700 ₽;Нет;Нет;Есть;Есть;Нет;Есть;+7 (495) 740 76 67; +7 905 560 50 70 (доставка);['Азербайджанская кухня', 'Грузинская кухня', 'Европейская кухня', 'Паста', 'Русская кухня', 'Хинкали', 'Шашлыки', 'Банкетные залы', 'Бары', 'Кафе', 'Веранды'];11:00 до 00:00;0;0
Теремок;0;Москва, Ленинская Слобода, 26, стр. 2, ТЦ «Глобал-молл»;['Автозаводская'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 (495) 956 27 30 (единая справочная);http://www.teremok.ru;['Блины', 'Русская кухня', 'Кафе', 'Фастфуд'];10:00 до 22:00;0;0
Coffee Way;0;Москва, просп. Вернадского, 86а, ТРЦ Avenue South West;['Юго-Западная'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;Нет;http://coffeeway.ru;['Кофейни'];10:00 до 22:00;0;0
Burger King;0;Москва, Лобачевского, 19;['Мичуринский проспект'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 (495) 544 50 00;Сайт;['Американская кухня', 'Бургеры', 'Кафе', 'Фастфуд'];10:00 до 22:00;0;0
Библиотека Shisha Lounge;0;Москва, Арбат, 42, стр. 4;['Арбатская', 'Смоленская'];700–1700 ₽;Есть;Нет;Нет;Нет;Нет;Нет;+7 985 551 99 99;http://biblioteka-lounge.ru/arbat;['Бургеры', 'Европейская кухня', 'Паровые коктейли', 'Паста', 'Кафе'];11:00 до 04:00;0;0
Майкитай;0;Москва, Ходынский б-р, 4, ТРЦ «Авиапарк»;['ЦСКА'];700–1700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 (495) 798 89 82;http://maikitai.ru;['Вок', 'Китайская кухня', 'Суши', 'Японская кухня'];10:00 до 22:00;0;0
Стардогс;0;Москва, аллея Жемчуговой, 1;['Новогиреево'];До 700 ₽;Нет;Нет;Нет;Нет;Нет;Нет;+7 (495) 540 57 23;http://www.stardogs.ru;['Сэндвичи', 'Стритфуд', 'Фастфуд'];10:00 до 22:00;0;0
Бардак Сити;0;Москва, Тестовская, 1;['Деловой центр'];700–1700 ₽;Нет;Есть;Нет;Нет;Нет;Нет;+7 926 356 90 40;http://barduck.taplink.ws;['Бургеры', 'Европейская кухня', 'Бары'];12:00 до 00:00;0;0
Братья Караваевы;0;Москва, Николоямская, 29, стр. 1;['Таганская', 'Марксистская'];До 700 ₽;Есть;Нет;Есть;Нет;Нет;Нет;+7 (495) 915 38 94;Сайт;['Европейская кухня', 'Пироги', 'Сэндвичи', 'Кафе', 'Кондитерские', 'Кулинарии', 'Пекарни'];08:00 до 23:00;0;0
Папан;0;Москва, Новокосинская, 47;['Новокосино'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 903 533 78 87;http://papan-bakery.ru;['Пироги', 'Пицца', 'Торты на заказ', 'Кондитерские', 'Пекарни'];09:00 до 22:00;0;0
Субботица Фили;2 отзыва;Москва, Багратионовский пр., 12;['Фили'];1700–3000 ₽;Нет;Нет;Нет;Есть;Нет;Есть;+7 (499) 145 30 83;Сайт;['Европейская кухня', 'Сербская кухня', 'Стейки'];12:00 до 00:00;2;0
Шоколадница;0;Москва, Скобелевская, 14;['Улица Скобелевская'];700–1700 ₽;Есть;Есть;Есть;Есть;Нет;Нет;+7 915 473 99 17;http://www.shoko.ru;['Блины', 'Европейская кухня', 'Паста', 'Сэндвичи', 'Кондитерские', 'Кофейни'];09:00 до 22:00;0;0
Кивин;0;Москва, Шереметьевская, 2;['Марьина Роща'];700–1700 ₽;Нет;Нет;Нет;Есть;Есть;Есть;+7 (495) 966 34 35;Нет;['Европейская кухня', 'Итальянская кухня', 'Паста', 'Пицца', 'Бары', 'Кафе', 'Веранды'];09:00 до 18:00;0;0
Лам;0;Москва, Б.Дорогомиловская, 12а;['Киевская'];700–1700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 968 511 95 95;Нет;['Кафе'];11:00 до 00:00;0;0
Hanky 3/7;0;Москва, Покровка, 3/7, стр. 1;['Китай-город'];Нет;Нет;Нет;Нет;Нет;Нет;Нет;+7 (495) 785 03 13;http://hankybar.ru;['Бары', 'Коктейльная карта'];19:00 до 05:00;0;0
My Lounge Room;0;Москва, Гарднеровский пер., 3;['Бауманская'];Нет;Нет;Нет;Нет;Нет;Есть;Есть;+7 903 136 37 39;Сайт;['Паровые коктейли', 'Сэндвичи', 'Круглосуточно'];00:00 до 00:00;0;0
Nebo;0;Москва, Кутузовский просп., 48, галереи «Времена года», 5 этаж;['Парк Победы', 'Славянский бульвар', 'Филевский парк'];Нет;Нет;Нет;Нет;Есть;Нет;Есть;+7 (495) 256 21 00;http://nebomoskva.ru;['Банкетные залы', 'Караоке', 'Панорамные рестораны'];Время работы не указан;0;0
Ftesti;0;Москва, Ярцевская, 19, МФК «Кунцево-плаза»;['Молодежная'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 960 398 85 00;Сайт;['Европейская кухня', 'Кафе'];09:00 до 22:00;0;0
Суши-шоп;0;Москва, Генерала Кузнецова, 19, корп. 1;['Жулебино'];До 700 ₽;Нет;Есть;Есть;Есть;Нет;Нет;+7 (495) 933 34 35;Сайт;['Вок', 'Суши', 'Японская кухня', 'Фастфуд'];10:00 до 00:00;0;0
Sesame;0;Москва, Покровка, 2/1, стр. 1, в помещении Shwarm;['Китай-город'];1700–3000 ₽;Нет;Нет;Нет;Нет;Нет;Есть;+7 916 723 66 17;Нет;['Арабская кухня', 'Израильская кухня', 'Бары'];Время работы не указан;0;0
Sedélice;0;Москва, 9-я Парковая, 70;['Щелковская'];Нет;Нет;Нет;Нет;Нет;Нет;Нет;+7 968 623 28 84 (единая справочная);Сайт;['Пироги', 'Торты на заказ', 'Кондитерские', 'Пекарни'];08:00 до 22:00;0;0
Суши Wok;0;Москва, Плещеева, 8;['Бибирево'];До 700 ₽;Нет;Есть;Есть;Есть;Нет;Нет;+7 (499) 754 44 44 (единая справочная);http://www.sushiwok.ru;['Вок', 'Итальянская кухня', 'Пицца', 'Суши', 'Японская кухня', 'Фастфуд'];10:00 до 23:00;0;0
Шаргунь;0;Москва, Севастопольский просп., 15, корп. 3;['Крымская'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 926 052 66 04;Нет;['Пироги', 'Чебуреки', 'Шаурма', 'Пекарни', 'Фастфуд', 'Круглосуточно'];00:00 до 00:00;0;0
From Berlin.;0;Москва, Садовая-Самотечная, 20, стр. 1;['Цветной бульвар', 'Трубная'];1700–3000 ₽;Есть;Нет;Нет;Есть;Нет;Есть;+7 985 068 47 59;http://from-berlin-msk.clients.site;['Европейская кухня', 'Кафе', 'Веранды'];09:00 до 00:00;0;0
Coffee Moments;0;Москва, Ленинская Слобода, 26, корп. С, БЦ «Омега-2»;['Автозаводская'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 796 81 88;http://www.coffeemoments.ru;['Пироги', 'Сэндвичи', 'Кофейни'];08:30 до 18:30;0;0
Mimi;0;Москва, Воротынская, 2;[];1700–3000 ₽;Нет;Нет;Есть;Есть;Есть;Есть;+7 (499) 490 00 33;Сайт;['Грузинская кухня', 'Хачапури', 'Хинкали', 'Шашлыки'];12:00 до 00:00;0;0
Tsomi;0;Москва, Лесная, 20, стр. 3, фуд-молл «Депо. Москва»;['Белорусская', 'Новослободская', 'Менделеевская'];700–1700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 968 500 30 05;Нет;['Грузинская кухня', 'Хачапури', 'Хинкали', 'Чебуреки', 'Кафе'];10:00 до 23:00;0;0
Синкопа;0;Москва, Волгоградский просп., 16;['Пролетарская', 'Волгоградский проспект', 'Крестьянская Застава'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 968 477 93 85;http://www.syncopecoffee.ru;['Кофейни'];08:00 до 21:00;0;0
Aristokrat;0;Москва, наб. Тараса Шевченко, 23а, ММДЦ «Москва-Сити», башня «2000»;['Кутузовская', 'Выставочная', 'Деловой центр', 'Киевская'];Больше 3000 ₽;Нет;Нет;Нет;Есть;Нет;Есть;+7 906 009 05 05;http://aristocrat-rest.ru;['Бургеры', 'Европейская кухня', 'Паназиатская кухня', 'Паста', 'Поке', 'Стейки', 'Суши', 'Панорамные рестораны'];12:00 до 02:00;0;0
Зейтун;0;Москва, 22-й км Калужского ш., ОРПЦ «Фуд-сити», 2 этаж;['Теплый Стан'];700–1700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 925 673 61 11;Сайт;['Азербайджанская кухня', 'Грузинская кухня', 'Европейская кухня', 'Русская кухня', 'Бары', 'Кафе'];08:00 до 20:00;0;0
Суши Wok;0;Москва, Бирюлевская, 51;[];До 700 ₽;Нет;Есть;Есть;Есть;Нет;Нет;+7 (499) 754 44 44 (единая справочная);http://www.sushiwok.ru;['Вок', 'Итальянская кухня', 'Пицца', 'Суши', 'Японская кухня', 'Фастфуд'];10:00 до 23:00;0;0
Дабл ять;0;Москва, просп. Андропова, 48, стр. 2;['Коломенская', 'Каширская'];1700–3000 ₽;Нет;Нет;Нет;Есть;Нет;Есть;+7 (499) 612 72 47;http://dable-iat.ru;['Европейская кухня', 'Караоке'];18:00 до 06:00;0;0
Cream Soda;0;Москва, Мясницкая, 15;['Чистые пруды', 'Тургеневская', 'Сретенский бульвар'];700–1700 ₽;Есть;Нет;Нет;Нет;Нет;Нет;+7 915 385 48 28;http://vk.com/creamsodamoscow;['Европейская кухня', 'Сэндвичи', 'Кофейни'];08:00 до 23:00;0;0
In via;0;Москва, Архитектора Щусева, 3;['ЗИЛ'];1700–3000 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 995 503 94 88;http://vk.com/club218725646;['Европейская кухня', 'Скандинавская кухня'];12:00 до 23:00;0;0
Inch;0;Москва, Смоленская, 8, гостиница Azimut Moscow Smolenskaya, 1 этаж;['Смоленская'];1700–3000 ₽;Нет;Нет;Есть;Есть;Нет;Есть;+7 909 906 25 06;Нет;['Европейская кухня', 'Паназиатская кухня', 'Паста', 'Стейки', 'Устрицы', 'Бары'];11:00 до 00:00;0;0
Loft Hall №4;0;Москва, 2-й Кожуховский пр., 29, корп. 6;['ЗИЛ'];Нет;Нет;Нет;Нет;Есть;Есть;Есть;+7 (495) 385 83 31;http://www.lofthall.ru/loft4;['Банкетные залы'];Время работы не указан;0;0
Грамотный кофе;0;Москва, Страстной б-р, 8;['Тверская', 'Пушкинская', 'Чеховская'];Нет;Нет;Нет;Нет;Нет;Нет;Нет;+7 903 587 50 35;Нет;['Кофейни'];08:00 до 22:00;0;0
Geo.Graphia;1 отзыв;Москва, 5-й км от МКАД по Новорижскому ш., дер. Воронки, ТРК «Рига-молл»;[];700–1700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 926 012 67 17;Нет;['Грузинская кухня', 'Хачапури', 'Хинкали'];10:00 до 22:00;0;1
Баловень;0;Москва, Комсомольский просп., 17;['Парк культуры', 'Фрунзенская'];700–1700 ₽;Есть;Есть;Есть;Есть;Нет;Есть;+7 (499) 242 86 88;Сайт;['Европейская кухня', 'Паста', 'Пицца', 'Караоке', 'Кафе'];11:00 до 23:00;0;0
Теремок;0;Москва, Щукинская, 42, ТРК «Щука»;['Щукинская'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 (495) 956 27 30 (единая справочная);http://www.teremok.ru;['Блины', 'Русская кухня', 'Кафе', 'Фастфуд'];10:00 до 22:00;0;0
Урюк;0;Москва, 23-й км Новорижского ш., ТЦ «Премьер»;[];700–1700 ₽;Нет;Есть;Есть;Есть;Нет;Есть;+7 (499) 968 69 69;Сайт;['Грузинская кухня', 'Европейская кухня', 'Паровые коктейли', 'Узбекская кухня', 'Хачапури', 'Хинкали', 'Шашлыки', 'Кафе'];11:00 до 01:00;0;0
Lampa;0;Москва, Рублевское ш., 91, корп. 4;['Молодежная'];700–1700 ₽;Есть;Есть;Нет;Есть;Есть;Есть;+7 (495) 208 00 22;http://lampacafe.ru;['Европейская кухня', 'Пицца', 'Живая музыка', 'Кафе', 'Кондитерские'];10:00 до 22:00;0;0
Восход;0;Москва, 14-й км МКАД, ТК «Садовод»;['Люблино', 'Братиславская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;Нет;Нет;['Узбекская кухня', 'Кафе'];05:00 до 18:00;0;0
Pita Mix;0;Москва, 23-й км Киевского ш., 1, ТРЦ «Саларис»;['Саларьево'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 966 047 05 77;Нет;['Европейская кухня', 'Кафе', 'Фастфуд'];10:00 до 22:00;0;0
Koupes Bar. Кухня Кипра;0;Москва, Ниж.Красносельская, 35, стр. 59, рынок «Гастроферма»;['Красносельская', 'Бауманская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 916 607 96 36;Нет;['Бургеры', 'Греческая кухня', 'Средиземноморская кухня', 'Кафе', 'Фастфуд'];09:00 до 21:00;0;0
Якитория;4.0;Москва, Балаклавский просп., 14а;['Чертановская'];1700–3000 ₽;Нет;Нет;Есть;Есть;Нет;Есть;+7 (495) 316 49 11;http://www.yakitoriya.ru;['Бургеры', 'Вок', 'Европейская кухня', 'Паназиатская кухня', 'Пицца', 'Суши', 'Японская кухня', 'Кафе', 'Веранды'];10:00 до 05:00;0;0
Дикий Запад;0;Москва, Волгоградский просп., 46/15, ТЦ «Мост», 3 этаж;['Текстильщики'];1700–3000 ₽;Нет;Есть;Есть;Есть;Нет;Есть;+7 903 726 22 44;http://dz-bar.ru;['Американская кухня', 'Бургеры', 'Европейская кухня', 'Паровые коктейли', 'Паста', 'Стейки', 'Суши', 'Сэндвичи', 'Узбекская кухня', 'Чебуреки', 'Японская кухня', 'Бары', 'Живая музыка', 'Караоке', 'Пивные рестораны', 'Спортбары'];11:00 до 06:00;0;0
Шоколадница;0;Москва, Багратионовский пр., 5, ТРЦ «Филион»;['Багратионовская', 'Фили'];700–1700 ₽;Нет;Есть;Есть;Есть;Нет;Нет;+7 926 990 27 41;http://www.shoko.ru;['Блины', 'Европейская кухня', 'Паста', 'Сэндвичи', 'Кондитерские', 'Кофейни'];10:00 до 22:00;0;0
Hookah Place Maryino;0;Москва, Люблинская, 163/1;['Марьино'];Нет;Нет;Нет;Нет;Нет;Нет;Нет;+7 905 748 18 88;http://hookahplace.ru;['Паровые коктейли', 'Бары'];13:00 до 02:00;0;0
Krombacher Beer Kitchen;1 отзыв;Москва, 1-я Тверская-Ямская, 19, гостиница Sheraton Palace;['Белорусская'];1700–3000 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 734 70 60;http://beerkitchen.moscow;['Европейская кухня', 'Немецкая кухня', 'Паназиатская кухня', 'Русская кухня', 'Стейки', 'Пивные рестораны'];12:00 до 02:00;1;0
Roof Raf;0;Москва, Ленинский просп., 23;['Шаболовская'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 985 632 48 42;Нет;['Кофейни'];08:00 до 20:00;0;0
Руки вверх!;0;Москва, Мичуринский просп., Олимпийская деревня, 1, корп. 4;['Мичуринский проспект', 'Озерная'];700–1700 ₽;Нет;Нет;Нет;Есть;Нет;Есть;+7 (499) 501 11 00;http://olimp.rvbar.ru;['Бургеры', 'Европейская кухня', 'Паста', 'Русская кухня', 'Бары'];18:00 до 06:00;0;0
Shore House Village;0;Москва, Истринский р-н, дер. Обушково, 4;[];Больше 3000 ₽;Нет;Нет;Нет;Есть;Нет;Есть;+7 (495) 513 11 25;Сайт;['Азербайджанская кухня', 'Европейская кухня', 'Стейки', 'Суши', 'Турецкая кухня', 'Шашлыки', 'Японская кухня'];12:00 до 00:00;0;0
Суши-шоп;0;Москва, Котельники, Кузьминская, 17;['Котельники'];До 700 ₽;Нет;Есть;Есть;Есть;Нет;Нет;+7 (495) 933 34 35;Сайт;['Вок', 'Суши', 'Японская кухня', 'Фастфуд'];10:00 до 00:00;0;0
Enjoylife;0;Москва, Авиационная, 63;['Щукинская'];700–1700 ₽;Нет;Есть;Есть;Есть;Есть;Есть;+7 (495) 942 55 77;Сайт;['Европейская кухня', 'Русская кухня'];11:00 до 23:00;0;0
Domino's Pizza;0;Москва, Новомарьинская, 4;['Марьино'];До 700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 (495) 900 01 71;http://dominospizza.ru;['Итальянская кухня', 'Пицца', 'Кафе', 'Фастфуд'];10:00 до 02:00;0;0
Royal;0;Москва, Новоясеневский просп., 1б, стр. 1, парк-отель «Принц»;['Теплый Стан'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 987 30 00;http://princeparkhotel.ru;['Бары', 'Кофейни', 'Круглосуточно'];00:00 до 00:00;0;0
Lomonosov;0;Москва, Ленинский просп., 75/9;['Университет'];1700–3000 ₽;Есть;Нет;Есть;Есть;Нет;Есть;+7 929 545 11 10;http://www.lomonosovgastrobar.ru;['Бургеры', 'Европейская кухня', 'Паназиатская кухня', 'Паста', 'Пицца'];09:30 до 00:00;0;0
Saint;0;Москва, Кутузовский просп., 2/1, стр. 6;['Смоленская', 'Киевская'];1700–3000 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 (495) 445 29 99;http://saintmoscow.ru;['Итальянская кухня', 'Паста', 'Средиземноморская кухня', 'Стейки', 'Французская кухня', 'Бары', 'Живая музыка', 'Коктейльная карта'];12:00 до 03:00;0;0
Мята Lounge;0;Москва, Фомичевой, 13, корп. 1;['Планерная'];Нет;Нет;Нет;Нет;Есть;Нет;Нет;+7 982 450 43 51;Нет;['Паровые коктейли', 'Чайные'];15:00 до 03:00;0;0
Craft Republic;6.5;Москва, М.Гнездниковский пер., 9, стр. 7;['Тверская', 'Пушкинская', 'Чеховская'];До 700 ₽;Нет;Нет;Нет;Нет;Нет;Нет;+7 965 112 66 71;http://craftrepublic.ru;['Бургеры', 'Бары', 'Живая музыка', 'Пабы', 'Пивные рестораны', 'Веранды'];12:00 до 04:00;0;0
Brooms;0;Москва, пл. Тверская Застава, 2, стр. 2;['Белорусская'];700–1700 ₽;Есть;Нет;Есть;Есть;Нет;Нет;+7 926 826 09 67;Нет;['Европейская кухня', 'Пицца', 'Стейки', 'Бары', 'Круглосуточно'];00:00 до 00:00;0;0
Сушивесла;0;Москва, Святоозерская, 1а, ТЦ «Косино-парк», гипермаркет «Окей Косино»;[];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 800 770 01 00;http://сушивесла.рф;['Вок', 'Суши', 'Японская кухня'];10:00 до 22:00;0;0
Ribs & Wings;0;Москва, Николоямская, 23;['Таганская', 'Марксистская'];700–1700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 965 336 50 80;http://www.ribsandwings.ru;['Американская кухня', 'Европейская кухня', 'Бары', 'Кафе', 'Коктейльная карта'];12:00 до 06:00;0;0
Чай +;0;Москва, Ладожская, 4/6, стр. 2;['Бауманская'];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Есть;Нет;http://vk.com/chaiplus;['Блины', 'Европейская кухня', 'Паназиатская кухня', 'Русская кухня', 'Узбекская кухня', 'Кафе', 'Круглосуточно'];00:00 до 00:00;0;0
Вкус детства;0;Москва, Раменский р-н, дер. Трошково, Шоссейная, влад. 1;[];До 700 ₽;Нет;Нет;Нет;Есть;Нет;Нет;+7 (495) 970 05 95;Сайт;['Пельмени', 'Русская кухня', 'Чебуреки', 'Кафе', 'Кулинарии', 'Круглосуточно'];00:00 до 00:00;0;0
Joki Joya;0;Москва, 5-й км от МКАД по Новорижскому ш., дер. Воронки, ТРК «Рига-молл», 3 этаж;[];700–1700 ₽;Нет;Нет;Нет;Есть;Нет;Есть;+7 (499) 397 71 04;http://joki-joya.ru;['Европейская кухня', 'Итальянская кухня', 'Паста', 'Пицца', 'Кафе'];10:00 до 22:00;0;0
Русские традиции;0;Москва, Стромынка, 5;['Сокольники'];До 700 ₽;Нет;Нет;Есть;Есть;Есть;Нет;+7 (495) 937 56 67;http://www.salatov.net;['Европейская кухня', 'Пироги', 'Русская кухня', 'Торты на заказ', 'Кулинарии'];08:00 до 22:00;0;0
Вок и утка;0;Москва, Никольская, 10, ТЦ Nikol’skaya Plaza;['Лубянка', 'Кузнецкий Мост'];700–1700 ₽;Нет;Нет;Есть;Есть;Нет;Нет;+7 (495) 967 77 77;http://www.vokrugsvetamarket.ru;['Вок', 'Китайская кухня', 'Кафе'];11:00 до 23:00;0;0
Шесть You Шесть;0;Москва, 1-я Тверская-Ямская, 2, стр. 1;['Маяковская'];700–1700 ₽;Есть;Нет;Есть;Нет;Нет;Есть;+7 (495) 139 66 27;http://ryumochnaya.ru;['Европейская кухня', 'Бары', 'Гастробары', 'Коктейльная карта', 'Рюмочные'];17:00 до 05:00;0;0
